query,task_type
Summarize the key points from the onboarding guide,summarization
SQL to update the email of sessions where id = 5,sql_generation
Write SQL to count rows in the campaigns table grouped by total,sql_generation
Draft an email to the support team about the pricing change,email_drafting
When did World War II end?,short_qa
Label the sentiment of this policy document,classification
Label the sentiment of this contract clause,classification
Give me a short summary of the email thread,summarization
Give me a short summary of the quarterly report,summarization
Give me the SQL to find users where created_at is null,sql_generation
Should we proceed with the latency spike? Explain your reasoning,reasoning
Draft a short message thanking the project manager,email_drafting
SQL to update the score of employees where id = 5,sql_generation
Label the sentiment of this research article,classification
Write a Java function to reverse a string,code_generation
Give me the SQL to find campaigns where created_at is null,sql_generation
Extract the order number and status from the email thread,data_extraction
Deduce the most likely reason for the shipping delay,reasoning
"What is the chemical symbol for gold, briefly?",short_qa
Define the latency spike in one line,short_qa
Explain this C# stack trace and how to fix it,code_generation
Categorize the following release notes,classification
Shorten this security advisory for an executive audience,summarization
Draft a short message thanking the account owner,email_drafting
Give me the SQL to find products where score is null,sql_generation
Give me the SQL to find orders where country is null,sql_generation
Tag this meeting notes with the correct department,classification
Compose a polite reply to the account owner regarding the checkout errors,email_drafting
Triage this quarterly report into the right queue,classification
Why did the mobile app crash happen and what should we do,reasoning
Draft an email to the support team about our refund policy,email_drafting
"Who painted the Mona Lisa, briefly?",short_qa
Summarize the key points from the bug report,summarization
Extract the order number and status from the meeting notes,data_extraction
Walk me through step by step how to resolve the shipping delay,reasoning
Compose a polite reply to the support team regarding the cache invalidation,email_drafting
Analyze the root cause of the mobile app crash,reasoning
Summarize this meeting notes in 3 bullet points,summarization
Write a follow up email to a colleague,email_drafting
Write a query to get the top 10 tickets by amount,sql_generation
Pull out the dates and amounts from the customer complaint,data_extraction
Summarize the key points from the user feedback,summarization
Summarize the key points from the call transcript,summarization
Categorize the following security advisory,classification
"What does HTTP stand for, briefly?",short_qa
Write SQL to count rows in the tickets table grouped by amount,sql_generation
Define the email bounce rate in one line,short_qa
Write an email apologizing for the email bounce rate,email_drafting
Generate a SQL query to get all region from subscriptions,sql_generation
List all the action items from the user feedback,data_extraction
"Who is the CEO of our company, briefly?",short_qa
Should we proceed with the login outage? Explain your reasoning,reasoning
Give me the SQL to find orders where tier is null,sql_generation
Give me the SQL to find employees where country is null,sql_generation
Give me a short summary of the performance review,summarization
Shorten this release notes for an executive audience,summarization
Compare the pros and cons of the API rate limits,reasoning
Draft an email to the finance team about the subscription renewal,email_drafting
Label the sentiment of this onboarding guide,classification
Triage this chat transcript into the right queue,classification
Generate a SQL query to get all country from transactions,sql_generation
Write a query to get the top 10 users by category,sql_generation
Is this meeting notes a complaint or a question,classification
Write a follow up email to the project manager,email_drafting
Give me the SQL to find tickets where score is null,sql_generation
Condense the following release notes into two sentences,summarization
"What is the boiling point of water, briefly?",short_qa
SQL to update the channel of tickets where id = 5,sql_generation
Quick question: What is the capital of France?,short_qa
Give me the SQL to find shipments where updated_at is null,sql_generation
Refactor this Go function to be more readable,code_generation
Explain this Python stack trace and how to fix it,code_generation
Tag this policy document with the correct department,classification
Quick question: Who discovered gravity?,short_qa
Draft an email to a new client about the onboarding flow,email_drafting
Find all the entities mentioned in this sprint retrospective,data_extraction
Compare the pros and cons of the checkout errors,reasoning
List all the action items from the email thread,data_extraction
Give me a short summary of the policy document,summarization
Is this policy document a complaint or a question,classification
Label the sentiment of this email thread,classification
Create a SQL query joining shipments and products on id,sql_generation
Condense the following research article into two sentences,summarization
Can you tell me how many planets are in the solar system?,short_qa
Tag this incident report with the correct department,classification
Tag this release notes with the correct department,classification
Write a query to get the top 10 orders by category,sql_generation
Create a SQL query joining payments and payments on id,sql_generation
Parse the email thread and return structured fields,data_extraction
Draft an email to a colleague about the shipping delay,email_drafting
Extract all email addresses from this research article,data_extraction
Generate a SQL query to get all channel from orders,sql_generation
Should we proceed with the subscription renewal? Explain your reasoning,reasoning
Compose a polite reply to the project manager regarding the checkout errors,email_drafting
Write an email apologizing for the onboarding flow,email_drafting
Analyze the root cause of our refund policy,reasoning
Create a SQL query joining campaigns and subscriptions on id,sql_generation
Debug this TypeScript code that throws a null reference error,code_generation
Write C# code to read a CSV file,code_generation
Write SQL to count rows in the subscriptions table grouped by region,sql_generation
Triage this email thread into the right queue,classification
Compose a polite reply to the customer regarding the payment gateway,email_drafting
SQL to update the created_at of users where id = 5,sql_generation
Draft a short message thanking the vendor,email_drafting
Label the sentiment of this call transcript,classification
Extract the order number and status from the Slack conversation,data_extraction
Compare the pros and cons of the email bounce rate,reasoning
Write SQL to count rows in the products table grouped by priority,sql_generation
Give me a short summary of the sprint retrospective,summarization
Condense the following onboarding guide into two sentences,summarization
Condense the following customer complaint into two sentences,summarization
Generate a SQL query to get all updated_at from payments,sql_generation
Who is the author of 1984?,short_qa
TL;DR of the inventory mismatch,summarization
Can you tell me what is the currency of Japan?,short_qa
Write SQL to count rows in the payments table grouped by plan,sql_generation
Summarize this bug report in 3 bullet points,summarization
Generate a SQL query to get all total from orders,sql_generation
Who discovered gravity?,short_qa
Compose a polite reply to the account owner regarding the cache invalidation,email_drafting
Extract the order number and status from the contract clause,data_extraction
Compare the pros and cons of the onboarding flow,reasoning
Find all the entities mentioned in this email thread,data_extraction
Why did the API rate limits happen and what should we do,reasoning
Walk me through step by step how to resolve the new billing system,reasoning
What category does this user feedback belong to,classification
Pull out the dates and amounts from the sprint retrospective,data_extraction
Extract the order number and status from the performance review,data_extraction
Can you tell me what is the tallest mountain in the world?,short_qa
What category does this Slack conversation belong to,classification
Triage this customer complaint into the right queue,classification
Create a SQL query joining tickets and campaigns on id,sql_generation
Help me draft a reminder email to the vendor,email_drafting
Deduce the most likely reason for the onboarding flow,reasoning
Can you tell me what is the speed of light?,short_qa
Categorize the following call transcript,classification
Summarize this design document in 3 bullet points,summarization
Triage this research article into the right queue,classification
